Norm365BOELat,BblsFt,Avg_PPG,Adj_WC_365,TVD,BTU_Gas,Neutron_Por,AvgRt*NetPay
12.21418477,17.62,1.779824328,0.362293989,6910,1388,0.2306,725.3668
7.561361154,12.27,1.299702017,0.21516619,6367,1403,0.1788,539.0143
3.545395723,7.99,2.256755045,0.644182634,6722,1375,0.2365,488.4735
5.244531542,14.82,1.319333361,0.435675676,7031,1378,0.2349,898.9981
20.07117528,16.9,1.971052007,0.166942288,6517,1499,0.1913,407.0736
1.019825418,10.95,1.405477761,0.665459423,7027,1374,0.2388,1097.5824
2.074893843,9.34,1.049722864,0.807745505,6427,,0.1651,1065.5787
5.174850075,13.95,1.302554451,0.444572837,6663,1703,0.1906,359.6802
,8.88,1.648901099,,6555,,0.1865,269.7957
4.642191807,14.46,1.266078156,0.695169059,6069,1673,0.1753,499.2186
17.80650802,21.69,1.217881046,0.194463829,6200,1391,0.1833,833.7386
,8.23,1.442459745,,6582,,0.1903,194.8629
15.77254406,20.65,1.335356753,0.223531229,6495,1481,0.1827,441.7737
18.14318627,2.78,1.9234125,0.134971458,6337,1600,0.1863,576.9011
3.551627863,12.68,1.796119839,0.600704588,6650,1337,0.2362,440.7263
8.988176373,16.31,1.427848193,0.469983798,6505,1600,0.1647,536.0365
30.67289459,13.8,1.613627541,0.07620011,5759,,0.1868,696.7147
11.72045855,20.82,1.208854039,0.382676507,6244,,0.1879,509.4741
46.16909356,29.99,0.681993533,0.098409133,5820,1346,0.185,714.984
22.11711322,15.61,1.498540624,0.11891324,6134,1342,0.1853,1016.2748
12.47613159,10.69,1.420087274,0.267186786,6171,1420,0.1815,743.5761
17.50718004,16.47,1.18705547,0.244430662,6004,,0.1819,769.9942
34.43872483,14.09,1.372763579,0.056793327,5909,1345,0.1933,741.1107
21.61978894,37.23,0.632788704,0.293261329,5929,1340,0.1872,883.1744
7.542400112,17.96,1.231047817,0.669911789,5754,,0.2146,79.0855
28.73901074,17.21,1.386582173,0.272301327,6007,,0.1946,951.2304
23.93135411,14.96,1.472557203,0.090582825,6086,1345,0.1849,942.4727
30.945161,14.7,1.548092512,0.05541521,6006,1280,0.1867,977.7225
28.80881699,19.95,1.237895372,0.0679821,6181,1346,0.1834,903.3423
16.66698406,14.75,1.255444029,0.141070722,6247,,0.1833,946.249
26.73876684,16.41,1.287303529,0.068129399,5974,1346,0.1892,1002.176
27.06897332,21.47,1.379863152,0.12950712,5655,1522,0.1868,696.7147
10.23406897,16.86,1.163495606,0.570839589,5953,1223,0.1818,563.7713
23.62071312,17.22,1.207816328,0.069099803,6029,1346,0.1857,779.6837
12.8557907,14.58,1.49037375,0.281114067,6276,1345,0.183,912.2546
5.666278454,7.13,0.916118098,0.18868904,5522,1377,0.2037,559.6303
12.30533854,17.23,1.296727377,0.26652773,6520,1465,0.1736,479.5681
23.54636135,16.2,1.514465281,0.124188764,5848,1340,0.2138,611.1945
34.59492854,13.42,1.567537558,0.067350139,5620,1507,0.2007,625.3122
27.23039541,14.85,1.457261238,0.257075914,5788,1509,0.2105,537.9692
19.96392057,12.86,1.37192733,0.12108722,5896,1264,0.2005,781.1499
19.19549889,15.13,1.366465971,0.220013458,6069,1367,0.1802,580.5918
7.796059203,13.3,1.434142884,0.490230906,6267,,0.1832,792.2302
8.967249104,14.56,1.511917288,0.368984772,6327,1287,0.169,557.5133
3.770696702,10.98,1.45464299,0.722925981,6381,1434,0.1689,1007.5621
26.0069241,15.72,1.381237692,0.084508762,6091,1249,0.1842,744.3579
9.788816231,10.74,1.709999353,0.244465942,6461,1401,0.192,409.2421
18.21691454,13.11,1.465255138,0.214132355,6373,1512,0.1742,549.4485
3.06010101,7.06,1.386521751,0.431930586,6274,,0.169,557.5133
6.892782823,12,1.456450388,0.320330664,6540,1358,0.1898,518.0852
12.70038119,12.09,1.346095082,0.048587421,6186,1428,0.1832,864.4888
16.33245746,12.04,1.490596596,0.168063664,5815,1523,0.2045,600.45
6.902579075,13.07,1.485431977,0.249179392,6272,1219,0.1767,529.6018
13.33673759,16.58,1.273666353,0.21897025,6477,1392,0.1767,529.6018
,13.34,1.419436176,,6516,1488,0.1724,797.9781
7.950200944,9.02,1.419436176,0.306438356,6516,1488,0.1724,797.9781
38.21804511,17.79,1.129433867,0.138890703,5766,1223,0.2114,552.5417
6.722628421,13.56,1.32636925,0.236974153,6565,,0.1773,940.3287
15.77707077,14.64,1.432908761,0.199053134,6430,1387,0.1872,422.152
17.33173035,13.58,1.5557544,0.165454125,6014,1312,0.1841,591.1649
10.85112409,14.56,1.446391782,0.337149292,6502,1382,0.1911,403.7618
13.45420489,16.67,1.413060161,0.080630425,6247,1264,0.1876,407.1019
6.091588386,11.81,1.47512434,0.65925639,6382,1496,0.1701,729.7161
8.277273071,10.61,1.317984367,0.227238221,6212,1272,0.1831,653.8485
15.59379968,12.58,1.479944604,0.227870266,5634,1593,0.2166,458.2609
5.054144572,17.56,1.163704906,0.826969017,6177,1381,0.1972,146.2474
17.74842939,15.01,1.530981421,0.241344634,6097,,0.1807,602.5208
16.52053533,17.92,1.116051988,0.122505079,5715,,0.1869,149.7581
18.88132853,11.39,1.499730089,0.20709419,6233,1329,0.1818,672.1273
7.407139352,8.75,1.390704987,0.332067251,5979,,0.1771,650.0645
8.819815418,16.41,1.111637381,0.355737363,6140,1035,0.1757,503.6622
11.98334227,13.71,1.076726609,0.400170789,6277,1418,0.1822,564.1393
,14.44,1.07672711,,6355,1418,0.1822,564.1393
14.78127888,13.47,1.123369537,0.166201913,6215,1390,0.1833,833.7386
9.651001089,12.59,1.465122558,0.2651352,6510,1318,0.1951,377.4463
5.355145886,12.93,0.996689538,0.45165489,6205,1462,0.1753,499.2186
11.17503392,15.15,1.041283521,0.075350185,6357,1251,0.1863,576.9011
8.039077704,11.58,1.478464859,0.18375833,6194,1582,0.1794,532.2587
1.285752732,14.87,0.997987301,0.931954293,5589,1423,0.2202,34.9096
11.56980994,14.4,1.450080963,0.153745605,6233,,0.1892,503.324
9.681798246,12.84,1.108161244,0.501430335,6147,1464,0.1772,652.1237
17.01211956,25.27,1.167142713,0.111840683,6292,1412,0.1822,564.1393
10.388283,27.75,1.096333704,0.574039967,6434,1384,0.1862,448.6098
6.930510949,15.25,1.003241636,0.590489258,6419,1427,0.1862,448.6098
15.67871922,13.5,1.5015942,0.301221727,6010,1523,0.1933,752.2395
10.62819429,16.41,1.45749215,0.423348583,6513,1356,0.1862,468.4173
25.18029231,15.57,1.410470257,0.150531735,5592,,0.183,378.0275
