Bblsft,AvgPPG,AdjWC365,TVD,BTUGas,NeutPor,AvgRtNetPay
0,1.3228,0.2683,6061.6352,1352.503,0.1879,597.7088
5,1.3228,0.2683,6061.6352,1352.503,0.1879,597.7088
10,1.3228,0.2683,6061.6352,1352.503,0.1879,597.7088
15,1.3228,0.2683,6061.6352,1352.503,0.1879,597.7088
20,1.3228,0.2683,6061.6352,1352.503,0.1879,597.7088
25,1.3228,0.2683,6061.6352,1352.503,0.1879,597.7088
30,1.3228,0.2683,6061.6352,1352.503,0.1879,597.7088
35,1.3228,0.2683,6061.6352,1352.503,0.1879,597.7088
40,1.3228,0.2683,6061.6352,1352.503,0.1879,597.7088
45,1.3228,0.2683,6061.6352,1352.503,0.1879,597.7088
50,1.3228,0.2683,6061.6352,1352.503,0.1879,597.7088
