Bblsft,AvgPPG,AdjWC365,TVD,BTUGas,NeutPor,AvgRtNetPay
5,1.384168072,0.209960811,5762,1324,0.1778,593.3086
10,1.360778228,0.173934442,5689,1180,0.1778,593.3086
15,1.276218061,0.199790932,5621,1137,0.1778,593.3086
20,1.282330078,0.199907628,5700,1134,0.1778,593.3086
25,1.324003694,0.16719002,5653,1109,0.1778,593.3086
30,1.280212596,0.105842553,5764,1233,0.2007,625.3122
35,1.222957886,0.08988178,5692,1198,0.2007,625.3122
40,1.207193232,0.064388857,5768,1265,0.197,691.1467
45,1.200011967,0.081777726,5748,1204,0.197,691.1467
50,1.227841774,0.091531568,5736,1287,0.197,691.1467
