Bblsft,AvgPPG,AdjWC365,TVD,BTUGas,NeutPor,AvgRtNetPay
5,1.322731,0.2683245,6061.635,1352.503,0.1879006,597.7089
10,1.322731,0.2683245,6061.635,1352.503,0.1879006,597.7089
15,1.322731,0.2683245,6061.635,1352.503,0.1879006,597.7089
20,1.322731,0.2683245,6061.635,1352.503,0.1879006,597.7089
25,1.322731,0.2683245,6061.635,1352.503,0.1879006,597.7089
30,1.322731,0.2683245,6061.635,1352.503,0.1879006,597.7089
35,1.322731,0.2683245,6061.635,1352.503,0.1879006,597.7089
40,1.322731,0.2683245,6061.635,1352.503,0.1879006,597.7089
45,1.322731,0.2683245,6061.635,1352.503,0.1879006,597.7089
50,1.322731,0.2683245,6061.635,1352.503,0.1879006,597.7089
